0,SFA,2,0.4075347945520156,3.0,0
1,SFA,1,0.37174163082366324,4.0,0
2,SFA,2,0.1732052067491771,3.0,0
3,SFA,1,0.11544294170251501,7.0,0
4,RISE,1,0.5416420872074521,16.516328302366798,1
5,SAX,2,0.2787693717685874,4.0,0
6,SAX,1,0.14416703836673608,7.0,0
7,SAX,2,0.30593480537358464,6.0,0
8,SAX,1,0.4075347945520156,6.0,0
9,SFA,2,0.09364093571232551,14.0,0
10,SFA,1,0.1732052067491771,1.0,0
11,SAX,2,0.36417536670965245,7.0,0
12,SAX,1,0.44692868118457835,5.0,0
13,SFA,2,0.1732052067491771,11.0,0
14,SFA,1,0.1732052067491771,1.0,0
15,RISE,1,0.6027792466038528,-0.8342846513989783,0
16,SAX,2,0.09364093571232551,6.0,0
17,SAX,1,0.1732052067491771,1.0,0
18,SAX,2,0.203974672118575,9.0,0
19,SAX,1,0.4910100902081244,8.0,0
20,SAX,2,0.09364093571232551,9.0,0
21,SAX,1,0.1732052067491771,1.0,0
22,SAX,2,0.36417536670965245,7.0,0
23,SAX,1,0.37174163082366324,7.0,0
24,SFA,2,0.2787693717685874,3.0,0
25,SFA,1,0.2787693717685874,8.0,0
26,SAX,2,0.4075347945520156,11.0,0
27,SAX,1,0.32673151081875307,9.0,0
28,SAX,2,0.1732052067491771,9.0,0
29,SAX,1,0.1732052067491771,11.0,0
30,SFA,2,0.25309214507988126,11.0,0
31,SFA,1,0.37174163082366324,11.0,0
32,SFA,2,0.27983933866440547,5.0,0
33,SFA,1,0.09949989947651328,8.0,0
34,SAX,2,0.012285840366873302,2.0,0
35,SAX,1,0.1732052067491771,1.0,0
