15,RISE,1,0.6027792466038528,-0.8342846513989783,0
4,RISE,1,0.5416420872074521,16.516328302366798,1
19,SAX,1,0.4910100902081244,8.0,0
12,SAX,1,0.4469286811845784,5.0,0
0,SFA,2,0.4075347945520156,3.0,0
8,SAX,1,0.4075347945520156,6.0,0
26,SAX,2,0.4075347945520156,11.0,0
23,SAX,1,0.3717416308236632,7.0,0
1,SFA,1,0.3717416308236632,4.0,0
31,SFA,1,0.3717416308236632,11.0,0
11,SAX,2,0.3641753667096525,7.0,0
22,SAX,2,0.3641753667096525,7.0,0
27,SAX,1,0.3267315108187531,9.0,0
7,SAX,2,0.30593480537358464,6.0,0
32,SFA,2,0.2798393386644055,5.0,0
5,SAX,2,0.2787693717685874,4.0,0
25,SFA,1,0.2787693717685874,8.0,0
24,SFA,2,0.2787693717685874,3.0,0
30,SFA,2,0.2530921450798813,11.0,0
18,SAX,2,0.203974672118575,9.0,0
